model	layer	probe	f1	auc	auprc
hyenadna	0	logistic	0.56957928802589	0.5305567482467439	0.5432334697700804
hyenadna	0	mlp	0.5787965616045845	0.4700634511712227	0.5094814455565955
hyenadna	1	logistic	0.5866666666666667	0.5817470540527647	0.627500176943047
hyenadna	1	mlp	0.3436123348017621	0.5371404036066981	0.5674593743535475
hyenadna	2	logistic	0.577922077922078	0.5772625351843901	0.6118291662879616
hyenadna	2	mlp	0.5448275862068965	0.5458231954582319	0.6013840784421722
hyenadna	3	logistic	0.5174825174825175	0.5163875769285817	0.5680267625931618
hyenadna	3	mlp	0.5298013245033113	0.5140021945517866	0.5521117375981726
hyenadna	4	logistic	0.5	0.5296980105910977	0.5612806811394798
hyenadna	4	mlp	0.5645645645645646	0.4907208625542674	0.5482765819361798
hyenadna	5	logistic	0.5442622950819672	0.5543628643671581	0.6025539603863477
hyenadna	5	mlp	0.53156146179402	0.5373789418443776	0.563063657828127
hyenadna	6	logistic	0.5170068027210885	0.5425790754257908	0.5896728123501813
hyenadna	6	mlp	0.4743083003952569	0.5769285816516387	0.5895526021145175
hyenadna	7	logistic	0.5	0.5560326320309146	0.5986824314663036
hyenadna	7	mlp	0.5194805194805194	0.5182004675349459	0.5873994203004566
hyenadna	8	logistic	0.570446735395189	0.5993034683459758	0.6280243140939518
hyenadna	8	mlp	0.580441640378549	0.5414340918849292	0.5588369227897563
hyenadna	9	logistic	0.5531914893617021	0.6006869901245169	0.6266628653778552
hyenadna	9	mlp	0.4632352941176471	0.5603263203091455	0.6008658650332885
nt	0	logistic	0.5478547854785478	0.5051524259338772	0.5351868410415197
nt	0	mlp	0.5706051873198847	0.4812270406946234	0.5304405772730441
nt	1	logistic	0.4765100671140939	0.4821811936453413	0.5380707939425841
nt	1	mlp	0.591304347826087	0.4991651161681217	0.5206709449940479
nt	2	logistic	0.512987012987013	0.4791756118505796	0.5071604149745463
nt	2	mlp	0.535031847133758	0.4796049806784028	0.5211607850445809
nt	3	logistic	0.5180327868852459	0.4784122894900052	0.5106211513654999
nt	3	mlp	0.51985559566787	0.5479223319498114	0.5666456266878265
nt	4	logistic	0.5414012738853503	0.4893373407757264	0.5143346440664187
nt	4	mlp	0.5806451612903226	0.468966175277897	0.4919646398693437
nt	5	logistic	0.5514950166112956	0.5379514336148085	0.5583680064325549
nt	5	mlp	0.525974025974026	0.5382376795000239	0.5586939487790256
nt	6	logistic	0.5442622950819672	0.5303182100090645	0.5317434711290437
nt	6	mlp	0.3764705882352941	0.4897190019560136	0.5324119079716108
nt	7	logistic	0.52	0.540575354229283	0.5664892119964374
nt	7	mlp	0.5245901639344263	0.4954916273078574	0.51600258468178
nt	8	logistic	0.552901023890785	0.5389532942130624	0.5489624453931631
nt	8	mlp	0.4924242424242424	0.543390105433901	0.5806091787585277
nt	9	logistic	0.5610561056105611	0.5568913696865607	0.5637073312552909
nt	9	mlp	0.5442622950819672	0.5349935594675828	0.5400925154241505
nt	10	logistic	0.577922077922078	0.5572253232193121	0.5490689226109555
nt	10	mlp	0.6005830903790087	0.5286961499928438	0.5410864974900552
nt	11	logistic	0.56957928802589	0.5593244597108916	0.5656035300936002
nt	11	mlp	0.466403162055336	0.5570822002767043	0.5718211457561521
nt	12	logistic	0.5521885521885522	0.5467773484089499	0.5444020995069494
nt	12	mlp	0.5338078291814946	0.5344210676971519	0.5455369002538397
nt	13	logistic	0.5292096219931272	0.547683793712132	0.5642102582917166
nt	13	mlp	0.5830721003134797	0.5401936930489958	0.542540703940191
nt	14	logistic	0.5172413793103449	0.5361862506559802	0.5698567389815625
nt	14	mlp	0.5875	0.5555555555555556	0.5651104453150206
nt	15	logistic	0.5017182130584192	0.5348027288774391	0.5874099974957678
nt	15	mlp	0.6261980830670927	0.5922427365106627	0.605386445474211
nt	16	logistic	0.5187713310580204	0.5388101712704547	0.5738950092303254
nt	16	mlp	0.5472312703583062	0.5295071800009541	0.552039338322974
nt	17	logistic	0.4897959183673469	0.5179142216497304	0.5495396492053253
nt	17	mlp	0.573208722741433	0.546300271933591	0.5863817898849775
nt	18	logistic	0.5255972696245734	0.5247364152473641	0.5569520354133423
nt	18	mlp	0.5714285714285714	0.5280282429273412	0.5505894543043915
nt	19	logistic	0.543046357615894	0.5304613329516721	0.5647644225229738
nt	19	mlp	0.5478547854785478	0.5372835265493059	0.560308912114496
nt	20	logistic	0.5	0.5161490386909021	0.5524865830580139
nt	20	mlp	0.580441640378549	0.5412909689423214	0.5650904511512265
nt	21	logistic	0.5220338983050847	0.5186775440103049	0.5550464850889705
nt	21	mlp	0.494296577946768	0.5506893755068938	0.585514703336885
nt	22	logistic	0.5306122448979592	0.5151948857401841	0.5543807776066652
nt	22	mlp	0.5605095541401274	0.5398120318687085	0.5827886337072784
nt	23	logistic	0.5346534653465347	0.5217785411001383	0.5509082166399777
nt	23	mlp	0.5650793650793651	0.5467296407614141	0.5695043023365589
nt	24	logistic	0.5217391304347826	0.5249749534850436	0.5576370197288274
nt	24	mlp	0.5732899022801303	0.5406230618768189	0.5704447269765548
nt	25	logistic	0.5551839464882943	0.5226372787557846	0.5455021469263607
nt	25	mlp	0.5396825396825397	0.52769428939459	0.5580253960770943
nt	26	logistic	0.5454545454545454	0.5248795381899718	0.5410549078917253
nt	26	mlp	0.5371024734982333	0.5756881828157054	0.5820602719920862
nt	27	logistic	0.5369127516778524	0.5228281093459282	0.5403196419097207
nt	27	mlp	0.5796178343949044	0.5314154859023901	0.5473771344015118
nt	28	logistic	0.5333333333333333	0.5198225275511664	0.5355864467809763
nt	28	mlp	0.5104895104895105	0.5140976098468584	0.5415006696446735
nt	29	logistic	0.5570469798657718	0.5480654548924193	0.5594364482639773
nt	29	mlp	0.5289855072463768	0.5568913696865607	0.5854551771671149
nt	30	logistic	0.5382059800664452	0.5234960164114307	0.5483340231299055
nt	30	mlp	0.4347826086956521	0.561041935022184	0.5911623635764971
nt	31	logistic	0.5187713310580204	0.5046037879872143	0.5450819889075815
nt	31	mlp	0.5392491467576792	0.5594675826534994	0.606021407275473
nt	32	logistic	0.5704697986577181	0.5648108391775202	0.5701461299171366
nt	32	mlp	0.5975609756097561	0.5568913696865607	0.5634652586191535
dnabert_s	0	logistic	0.53156146179402	0.5411955536472497	0.5624473557327337
dnabert_s	0	mlp	0.5526315789473685	0.5289346882305234	0.5550423266854929
dnabert_s	1	logistic	0.496551724137931	0.504269834454463	0.5442082007815783
dnabert_s	1	mlp	0.475177304964539	0.4983540861600114	0.5315555296019157
dnabert_s	2	logistic	0.5035460992907801	0.5050331568150375	0.5422682530588456
dnabert_s	2	mlp	0.4575645756457565	0.5203473116740613	0.550524274176454
dnabert_s	3	logistic	0.5133333333333333	0.5171031916416202	0.5390845285755657
dnabert_s	3	mlp	0.573208722741433	0.5545059873097657	0.5931534006022937
dnabert_s	4	logistic	0.5205479452054794	0.513334287486284	0.5449752392254041
dnabert_s	4	mlp	0.541095890410959	0.5326081770907876	0.5783499465564859
dnabert_s	5	logistic	0.5064935064935064	0.4882400648824007	0.5479617164958639
dnabert_s	5	mlp	0.5173501577287066	0.4815132865798388	0.5340946649090856
dnabert_s	6	logistic	0.531986531986532	0.5102332903964505	0.5486320856293898
dnabert_s	6	mlp	0.5666666666666667	0.5690091121606793	0.595345047212157
dnabert_s	7	logistic	0.4846416382252559	0.4784122894900052	0.5325248213246851
dnabert_s	7	mlp	0.5017667844522968	0.5219216640427461	0.529614751839887
dnabert_s	8	logistic	0.4827586206896552	0.5007871761843423	0.5621496399583632
dnabert_s	8	mlp	0.5569620253164557	0.5351843900577262	0.5613947794001574
dnabert_s	9	logistic	0.462046204620462	0.44845188683746	0.511294945173857
dnabert_s	9	mlp	0.5714285714285714	0.5225895711082487	0.5410138157945319
dnabert_s	10	logistic	0.5117845117845118	0.4999284385286961	0.5524429751439799
dnabert_s	10	mlp	0.5405405405405406	0.5347073135823672	0.5687836263234272
dnabert_s	11	logistic	0.5359477124183006	0.5022661132579552	0.5345517019421003
dnabert_s	11	mlp	0.4538461538461538	0.5227326940508563	0.5670353894117758
dnabert_s	12	logistic	0.5138888888888888	0.5212060493297076	0.5454887582995342
dnabert_s	12	mlp	0.5827814569536424	0.576833166356567	0.5845004253939204
evo2	3	logistic	0.5460750853242321	0.5788368875530747	0.568456501722871
evo2	3	mlp	0.558303886925795	0.585897619388388	0.5791024769386723
evo2	7	logistic	0.5581395348837209	0.5589905061781404	0.5571181082017073
evo2	7	mlp	0.5632911392405063	0.5106149515767378	0.5234113296057876
evo2	11	logistic	0.610738255033557	0.5837984828968084	0.6133112202048094
evo2	11	mlp	0.5867507886435331	0.5690091121606794	0.5955291496159117
evo2	15	logistic	0.5750798722044729	0.5406230618768189	0.566562251829802
evo2	15	mlp	0.5976331360946746	0.5312246553122465	0.5440424790081418
evo2	19	logistic	0.6138613861386139	0.5972520395019322	0.6138088249029907
evo2	19	mlp	0.5916398713826366	0.5808883163971185	0.5927953704391915
evo2	23	logistic	0.5460992907801419	0.5512618672773245	0.568215285395044
evo2	23	mlp	0.5723270440251572	0.5238299699441821	0.5575804697114968
evo2	27	logistic	0.5197368421052632	0.4866180048661801	0.519765770017375
