model	layer	probe	f1	auc	auprc
evo2	3	logistic	0.5460750853242321	0.5788368875530747	0.568456501722871
evo2	3	mlp	0.558303886925795	0.585897619388388	0.5791024769386723
evo2	7	logistic	0.5581395348837209	0.5589905061781404	0.5571181082017073
evo2	7	mlp	0.5632911392405063	0.5106149515767378	0.5234113296057876
evo2	11	logistic	0.610738255033557	0.5837984828968084	0.6133112202048094
evo2	11	mlp	0.5867507886435331	0.5690091121606794	0.5955291496159117
evo2	15	logistic	0.5750798722044729	0.5406230618768189	0.566562251829802
evo2	15	mlp	0.5976331360946746	0.5312246553122465	0.5440424790081418
evo2	19	logistic	0.6138613861386139	0.5972520395019322	0.6138088249029907
evo2	19	mlp	0.5916398713826366	0.5808883163971185	0.5927953704391915
evo2	23	logistic	0.5460992907801419	0.5512618672773245	0.568215285395044
evo2	23	mlp	0.5723270440251572	0.5238299699441821	0.5575804697114968
evo2	27	logistic	0.5197368421052632	0.4866180048661801	0.519765770017375
evo2	27	mlp	0.559748427672956	0.5217308334526024	0.5536193274608447
evo2	31	logistic	0.5126582278481012	0.4610944134344735	0.5109517307845693
evo2	31	mlp	0.15819209039548024	0.5669815371404037	0.5704700736944777
