layer	probe	target	f1	auc	auprc
layer.1	logistic	species	0.0		
layer.1	mlp	species	0.0		
layer.1	logistic	phylum	0.29176712011019473	0.8416231578947369	0.29901511197817254
layer.1	mlp	phylum	0.2986244833638323	0.8422147368421052	0.30144493736655353
layer.12	logistic	species	0.0		
layer.12	mlp	species	0.0		
layer.12	logistic	phylum	0.3947270591630689	0.8827715789473686	0.3948140261736258
layer.12	mlp	phylum	0.37356635379863673	0.8740873684210527	0.3834988507013427
layer.24	logistic	species	0.0		
layer.24	mlp	species	0.0		
layer.24	logistic	phylum	0.3751740033037708	0.8774907894736842	0.3843000007322662
layer.24	mlp	phylum	0.3725206237033678	0.8704736842105263	0.3758314152911407
layer.32	logistic	species	0.0		
layer.32	mlp	species	0.0		
layer.32	logistic	phylum	0.36297865537660046	0.8746426315789474	0.3690892283836297
layer.32	mlp	phylum	0.35417087240514905	0.8564168421052631	0.3441059986911909
