accession	domain	phylum	class_	order_	family	genus	species
GB_GCA_964402295.1	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	CADEFT01	CADEFT01 sp964402295
GB_GCA_051305935.1	Bacteria	Acidobacteriota	Thermoanaerobaculia	Gp7-AA8	Gp7-AA8	JACPDH01	JACPDH01 sp051305935
GB_GCA_963755825.1	Bacteria	Acidobacteriota	Thermoanaerobaculia	Multivoradales	UBA5704	DATBQN01	DATBQN01 sp963755825
GB_GCA_964237245.1	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	GCA-002050365 sp964237245
GB_GCA_035279505.1	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Sulfotelmatobacter	Sulfotelmatobacter sp035279505
GB_GCA_903923395.1	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	BOG-234	BOG-234 sp903923395
GB_GCA_035278895.1	Bacteria	Acidobacteriota	Thermoanaerobaculia	Multivoradales	UBA5704	DATARR01	DATARR01 sp035278895
GB_GCA_964523615.1	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Saccharicenantaceae	RBG-16-66-30	RBG-16-66-30 sp964523615
GB_GCA_963765085.1	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Palsa-187 sp963765085
GB_GCA_963805975.1	Bacteria	Acidobacteriota	Thermoanaerobaculia	Multivoradales	SZUA-115	CAWDVR01	CAWDVR01 sp963805975
RS_GCF_004011505.1	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea polychroma
RS_GCF_029541745.1	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp007595705
RS_GCF_030418315.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Demequinaceae	Demequina	Demequina zhanjiangensis
GB_GCA_025924515.1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Jatrophihabitantaceae	JAICIE01	JAICIE01 sp025924515
GB_GCA_029959365.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Arenivirga	Arenivirga sp029959365
RS_GCF_001417775.1	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001417775
GB_GCA_016711325.1	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propioniciclava	Propioniciclava sp016711325
RS_GCF_048060475.1	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nocardiopsis	Nocardiopsis sp048060475
GB_GCA_900770865.1	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Tractidigestivibacter	Tractidigestivibacter sp900770865
GB_GCA_036561505.1	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-744	Palsa-744 sp036561505
GB_GCA_905221545.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp905221545
RS_GCF_001886265.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B thailandicus
GB_GCA_964455975.1	Bacteria	Bacillota	Clostridia	TANB77	CAG-508	JAETTH01	JAETTH01 sp964455975
GB_GCA_027685415.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp027685415
GB_GCA_012518975.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp012518975
GB_GCA_029981855.1	Bacteria	Bacillota	Halanaerobiia	Halanaerobiales	DTU029	JARRCS01	JARRCS01 sp029981855
GB_GCA_945949385.1	Bacteria	Bacillota	Clostridia	Oscillospirales	CAG-272	Avispirillum	Avispirillum sp945949385
GB_GCA_045590175.1	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1532	UMGS1532 sp045590175
GB_GCA_947178015.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	RGIG8607	RGIG8607 sp947178015
GB_GCA_947629525.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp947629525
GB_GCA_029098125.1	Bacteria	Bacillota_I	Bacilli_A	RFN20	CAG-826	Onthovivens	Onthovivens sp029098125
GB_GCA_051649265.1	Bacteria	Bacillota_I	Bacilli_A	Mycoplasmatales	Mycoplasmoidaceae	CAMREV01	CAMREV01 sp051649265
GB_GCA_000437395.1	Bacteria	Bacillota_I	Bacilli_A	RFN20	CAG-288	CAG-288	CAG-288 sp000437395
GB_GCA_947626855.1	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	UBA5578	UBA5578 sp947626855
GB_GCA_900554615.1	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-302	CAG-302 sp900554615
GB_GCA_902783185.1	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	RUG12834	RUG12834 sp902783185
GB_GCA_944372025.1	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	JAFSEX01	JAFSEX01 sp944372025
GB_GCA_015059155.1	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	UMGS1613	UMGS1613 sp015059155
GB_GCA_012513195.1	Bacteria	Bacillota_I	Bacilli_A	Haloplasmatales	Haloplasmataceae	JAAZCR01	JAAZCR01 sp012513195
GB_GCA_018714385.1	Bacteria	Bacillota_I	Bacilli_A	RFN20	CAG-288	Enterosoma	Enterosoma merdigallinarum
RS_GCF_002283365.1	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rubricoccaceae	Rubrivirga	Rubrivirga marina
GB_GCA_934229335.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp934229335
